MisconceptionId,MisconceptionName,ConstructName,SubjectName,AnswerBText,AnswerAText,QuestionText,MisconceptionB
5,"When measuring a reflex angle, gives the acute or obtuse angle that sums to 360 instead",Reflex Angles and Supplementary Angles,Geometry,45 degrees,315 degrees,What is the measure of a reflex angle if the acute angle that sums to 360 degrees with it is 45 degrees?,"When measuring a reflex angle, gives the acute or obtuse angle that sums to 360 instead."
7,Believes gradient = change in y,Gradient of a line. CorrectAnswer: A.,Algebra,4,4/3,"What is the gradient of the line passing through the points (2, 3) and (5, 7)?",Believes gradient = change in y
10,"Believes duration can be read from a timetable, rather than calculating from start and end times",Calculating duration from start and end times. CorrectAnswer: A.,Time and Duration.,2 hours and 15 minutes.,2 hours and 30 minutes.,"A train departs at 10:15 AM and arrives at its destination at 12:45 PM. According to the timetable, the duration of the journey is listed as 2 hours and 30 minutes. What is the actual duration of the journey?","Believes duration can be read from a timetable, rather than calculating from start and end times."
12,Thinks that the side view does not include the furthest rows back,Understanding of 3D object projections. CorrectAnswer: A. ,Geometry,1,2,"If you are looking at a rectangular prism from the side, how many rows of cubes can you see?",Thinks that the side view does not include the furthest rows back
13,"Does not subtract from the hours, when having to borrow for a time calculation",Borrowing in Time Subtraction,Time Calculation,2:30 PM,1:30 PM,"If it is 3:15 PM and you need to subtract 1 hour and 45 minutes, what is the correct time?","Does not subtract from the hours, when having to borrow for a time calculation"
17,Confuses AM and PM when calculating time,Time Addition and Conversion,Time Calculation,5:00 AM,5:00 PM,"If a movie starts at 2:15 PM and lasts for 2 hours and 45 minutes, what time does it end?",Confuses AM and PM when calculating time
18,"Given the length of the sides, still does not recognise there is enough information to find the area",Area of a Triangle,Geometry,17.5 square units.,Cannot be determined with the given information.,"If the lengths of two sides of a triangle are 5 units and 7 units, what is the area of the triangle?","Given the length of the sides, still does not recognise there is enough information to find the area."
24,Does not understand the term multiple,Least Common Multiple (LCM),Number Theory,24,12,What is the smallest positive integer that is a multiple of both 4 and 6?,Does not understand the term multiple
25,Does not realise that when you multiply by 0 the answer will always be 0,Multiplication by zero. CorrectAnswer: A. ,Arithmetic,The original number,0,What is the result of multiplying any number by 0?,Does not realise that when you multiply by 0 the answer will always be 0
30,"When asked for a number n times smaller or bigger, subtracts or adds n",Multiplication and scaling. CorrectAnswer: A.,Arithmetic,17,60,"If a number is 5 times bigger than 12, what is the number?","When asked for a number n times smaller or bigger, subtracts or adds n."
40,Believes midpoint multiplied by frequency is equivalent to frequency density,Frequency Density Calculation,Statistics,150,0.67,"In a frequency distribution table, if the midpoint of a class interval is 15 and the frequency of that class is 10, what is the frequency density of that class interval?",Believes midpoint multiplied by frequency is equivalent to frequency density
41,Believes the mean is the number of categories given divided by something,Understanding the relationship between mean and sum of numbers. CorrectAnswer: A.,Statistics,2,50,"If the mean of a set of numbers is 10, and there are 5 numbers in the set, what is the sum of all the numbers in the set?",Believes the mean is the number of categories given divided by something
43,Confuses the terms edges and vertices,Properties of a cube. CorrectAnswer: A.,Geometry,12,8,How many vertices does a cube have?,Confuses the terms edges and vertices
46,Does not realise that division can be broken down into factors,Division as factorization. CorrectAnswer: A.,Arithmetic,10,8,What is the result of \( \frac{120}{15} \)?,Does not realise that division can be broken down into factors.
50,"When given a non-unit fraction of an amount and asked to find the total, answers as if it had been the unit fraction",Solving for the whole given a fraction of it. CorrectAnswer: A.,Fractions,27,24,"If 3/4 of a number is 18, what is the number?","When given a non-unit fraction of an amount and asked to find the total, answers as if it had been the unit fraction."
53,Thinks circumference is radius x pi,Circumference of a Circle,Geometry,4π units,8π units,What is the circumference of a circle with a radius of 4 units?,Thinks circumference is radius x pi
56,Assumes a negative number is not rational,Rational Numbers,Number Theory,-√2,-3/4,Which of the following numbers is rational?,Assumes a negative number is not rational
59,Cannot identify a common factor when simplifying algebraic fractions,Simplifying algebraic fractions by factoring out common terms.,Algebra,\(2x^2 + 4x\),\(2x + 4\),Simplify the algebraic fraction \(\frac{6x^2 + 12x}{3x}\).,Cannot identify a common factor when simplifying algebraic fractions.
62,Does not realise that a curved line represents a changing gradient,Gradient of a curve at a point. CorrectAnswer: A.,Calculus,2,4,What is the gradient of the curve \( y = x^2 \) at the point \( x = 2 \)?,Does not realise that a curved line represents a changing gradient.
63,Believes 'data' and 'sample' are interchangeable,Population and Sample. CorrectAnswer: A. ,Statistics,Data,Sample,"In a study, a researcher collects data from 100 participants to understand their daily water consumption. If the researcher wants to generalize the findings to the entire population, which of the following terms should they use to describe the 100 participants?",Believes 'data' and 'sample' are interchangeable
65,Cannot spot a variable within a written scenario,Division and variable identification. CorrectAnswer: A.,Arithmetic,30,32.5,"A farmer has 120 apples and decides to distribute them equally among his 4 baskets. After filling the baskets, he realizes he has 10 more apples than he initially thought. How many apples are in each basket now?",Cannot spot a variable within a written scenario
67,Divides by 1000 instead of 100 when converting a decimal to a percentage,Converting decimals to percentages. CorrectAnswer: A. ,Arithmetic,450%,45%,Convert the decimal 0.45 to a percentage.,Divides by 1000 instead of 100 when converting a decimal to a percentage
69,"When given a non-unit fraction of an amount, treats it like a unit fraction",Solving for the whole given a fraction of it. CorrectAnswer: A.,Fractions and Proportions,12,24,"If 3/4 of a number is 18, what is the number?","When given a non-unit fraction of an amount, treats it like a unit fraction."
