MisconceptionId,MisconceptionName,ConstructName,SubjectName,AnswerAText,AnswerBText,QuestionText,MisconceptionB
5,"When measuring a reflex angle, gives the acute or obtuse angle that sums to 360 instead",Understanding of reflex angles and clock angles,Geometry,250 degrees,110 degrees,What is the measure of the reflex angle formed by the minute hand and the hour hand on a clock when it is 4:20?,"When measuring a reflex angle, gives the acute or obtuse angle that sums to 360 instead"
7,Believes gradient = change in y,Understanding Gradient Calculation,Coordinate Geometry,1,4,"A student believes that the gradient of a line on a graph is simply the change in y-coordinates between two points. If there are two points on a line, (3, 5) and (7, 9), what does this student incorrectly calculate as the gradient of the line?",Believes gradient = change in y
10,"Believes duration can be read from a timetable, rather than calculating from start and end times",Calculating time intervals,Time and Duration,4 hours and 30 minutes,From 9:15 AM to 1:45 PM,"A train departs from City A at 9:15 AM and arrives in City B at 1:45 PM on the same day. According to a student who believes that duration can be read directly from a timetable, how long does the journey take?","Believes duration can be read from a timetable, rather than calculating from start and end times"
12,Thinks that the side view does not include the furthest rows back,Understanding side views and calculating areas of rectangles.,Geometry.,15 square centimeters.,24 square centimeters.,"A rectangular prism has dimensions 8 cm x 5 cm x 3 cm. If you look at the side view from the perspective where the width and height are visible, what is the area of this side view?",Thinks that the side view does not include the furthest rows back.
13,"Does not subtract from the hours, when having to borrow for a time calculation",Subtracting time with borrowing across hours,Time Calculations,3 hours and 25 minutes,3 hours and 10 minutes,"If a train departs at 2:45 PM and arrives at its destination at 6:10 PM on the same day, how long was the journey?","Does not subtract from the hours, when having to borrow for a time calculation"
17,Confuses AM and PM when calculating time,Understanding AM and PM in Time Differences,Time Calculation,2 hours and 15 minutes,2 hours and 45 minutes,"If a train departs at 10:30 AM and arrives at its destination at 12:45 PM on the same day, how long was the journey?",Confuses AM and PM when calculating time
18,"Given the length of the sides, still does not recognise there is enough information to find the area",Area Calculation for Rectangles,Geometry,Multiply the length by the width (96 cm²).,Add the lengths of all four sides (40 cm).,"If a rectangle has sides measuring 8 cm and 12 cm, which of the following represents the correct method to calculate its area?",Believing that the area can be found by adding the lengths of the sides instead of multiplying them.
20,Believes the number of wholes in a mixed number multiplies by the fraction part,Multiplying Mixed Numbers,Fractions,14,12,What is the result of multiplying the mixed number \(2\frac{1}{3}\) by 6?,Believes the number of wholes in a mixed number multiplies by the fraction part
24,Does not understand the term multiple,Understanding Multiples,Number Theory,16,7,Which of the following numbers is a multiple of 4?,Does not understand the term multiple
25,Does not realise that when you multiply by 0 the answer will always be 0,Multiplication by Zero,Arithmetic,0,5,"If you have 5 apples and you multiply them by 0, how many apples do you have left?",Does not realise that when you multiply by 0 the answer will always be 0
