QuestionId,MisconceptionId,CorrectAnswer,MisconceptionName,ConstructName,SubjectName,AnswerBText,AnswerAText,QuestionText,MisconceptionB
1866,5,A,"When measuring a reflex angle, gives the acute or obtuse angle that sums to 360 instead",Reflex Angles and Supplementary Angles,Geometry,45 degrees,315 degrees,What is the measure of a reflex angle if the acute angle that sums to 360 degrees with it is 45 degrees?,"When measuring a reflex angle, gives the acute or obtuse angle that sums to 360 instead."
1867,7,A,Believes gradient = change in y,Gradient of a line. ,Algebra,4,4月3日,"What is the gradient of the line passing through the points (2, 3) and (5, 7)?",Believes gradient = change in y
1868,10,A,"Believes duration can be read from a timetable, rather than calculating from start and end times",Calculating duration from start and end times. ,Time and Duration.,2 hours and 15 minutes.,2 hours and 30 minutes.,"A train departs at 10:15 AM and arrives at its destination at 12:45 PM. According to the timetable, the duration of the journey is listed as 2 hours and 30 minutes. What is the actual duration of the journey?","Believes duration can be read from a timetable, rather than calculating from start and end times."
1869,12,A,Thinks that the side view does not include the furthest rows back,Understanding of 3D object projections.  ,Geometry,1,2,"If you are looking at a rectangular prism from the side, how many rows of cubes can you see?",Thinks that the side view does not include the furthest rows back
1870,13,A,"Does not subtract from the hours, when having to borrow for a time calculation",Borrowing in Time Subtraction,Time Calculation,2:30 PM,1:30 PM,"If it is 3:15 PM and you need to subtract 1 hour and 45 minutes, what is the correct time?","Does not subtract from the hours, when having to borrow for a time calculation"
1871,17,A,Confuses AM and PM when calculating time,Time Addition and Conversion,Time Calculation,5:00 AM,5:00 PM,"If a movie starts at 2:15 PM and lasts for 2 hours and 45 minutes, what time does it end?",Confuses AM and PM when calculating time
1872,18,A,"Given the length of the sides, still does not recognise there is enough information to find the area",Area of a Triangle,Geometry,17.5 square units.,Cannot be determined with the given information.,"If the lengths of two sides of a triangle are 5 units and 7 units, what is the area of the triangle?","Given the length of the sides, still does not recognise there is enough information to find the area."
1873,24,A,Does not understand the term multiple,Least Common Multiple (LCM),Number Theory,24,12,What is the smallest positive integer that is a multiple of both 4 and 6?,Does not understand the term multiple
1874,25,A,Does not realise that when you multiply by 0 the answer will always be 0,Multiplication by zero.  ,Arithmetic,The original number,0,What is the result of multiplying any number by 0?,Does not realise that when you multiply by 0 the answer will always be 0
1875,30,A,"When asked for a number n times smaller or bigger, subtracts or adds n",Multiplication and scaling. ,Arithmetic,17,60,"If a number is 5 times bigger than 12, what is the number?","When asked for a number n times smaller or bigger, subtracts or adds n."
1876,40,A,Believes midpoint multiplied by frequency is equivalent to frequency density,Frequency Density Calculation,Statistics,150,0.67,"In a frequency distribution table, if the midpoint of a class interval is 15 and the frequency of that class is 10, what is the frequency density of that class interval?",Believes midpoint multiplied by frequency is equivalent to frequency density
1877,41,A,Believes the mean is the number of categories given divided by something,Understanding the relationship between mean and sum of numbers. ,Statistics,2,50,"If the mean of a set of numbers is 10, and there are 5 numbers in the set, what is the sum of all the numbers in the set?",Believes the mean is the number of categories given divided by something
1878,43,A,Confuses the terms edges and vertices,Properties of a cube. ,Geometry,12,8,How many vertices does a cube have?,Confuses the terms edges and vertices
1879,46,A,Does not realise that division can be broken down into factors,Division as factorization. ,Arithmetic,10,8,What is the result of \( \frac{120}{15} \)?,Does not realise that division can be broken down into factors.
1880,50,A,"When given a non-unit fraction of an amount and asked to find the total, answers as if it had been the unit fraction",Solving for the whole given a fraction of it. ,Fractions,27,24,"If 3/4 of a number is 18, what is the number?","When given a non-unit fraction of an amount and asked to find the total, answers as if it had been the unit fraction."
1881,53,A,Thinks circumference is radius x pi,Circumference of a Circle,Geometry,4蟺 units,8蟺 units,What is the circumference of a circle with a radius of 4 units?,Thinks circumference is radius x pi
1882,56,A,Assumes a negative number is not rational,Rational Numbers,Number Theory,#NAME?,-0.75,Which of the following numbers is rational?,Assumes a negative number is not rational
1883,59,A,Cannot identify a common factor when simplifying algebraic fractions,Simplifying algebraic fractions by factoring out common terms.,Algebra,\(2x^2 + 4x\),\(2x + 4\),Simplify the algebraic fraction \(\frac{6x^2 + 12x}{3x}\).,Cannot identify a common factor when simplifying algebraic fractions.
1884,62,A,Does not realise that a curved line represents a changing gradient,Gradient of a curve at a point. ,Calculus,2,4,What is the gradient of the curve \( y = x^2 \) at the point \( x = 2 \)?,Does not realise that a curved line represents a changing gradient.
1885,63,A,Believes 'data' and 'sample' are interchangeable,Population and Sample.  ,Statistics,Data,Sample,"In a study, a researcher collects data from 100 participants to understand their daily water consumption. If the researcher wants to generalize the findings to the entire population, which of the following terms should they use to describe the 100 participants?",Believes 'data' and 'sample' are interchangeable
1886,65,A,Cannot spot a variable within a written scenario,Division and variable identification. ,Arithmetic,30,32.5,"A farmer has 120 apples and decides to distribute them equally among his 4 baskets. After filling the baskets, he realizes he has 10 more apples than he initially thought. How many apples are in each basket now?",Cannot spot a variable within a written scenario
1887,67,A,Divides by 1000 instead of 100 when converting a decimal to a percentage,Converting decimals to percentages.  ,Arithmetic,450%,45%,Convert the decimal 0.45 to a percentage.,Divides by 1000 instead of 100 when converting a decimal to a percentage
1888,69,A,"When given a non-unit fraction of an amount, treats it like a unit fraction",Solving for the whole given a fraction of it. ,Fractions and Proportions,12,24,"If 3/4 of a number is 18, what is the number?","When given a non-unit fraction of an amount, treats it like a unit fraction."
1889,72,A,Thinks a decimal can be written as a fraction by just writing it under a numerator of 1,Converting Decimals to Fractions,Fractions and Decimals,0.75/1,3月4日,Which of the following is the correct way to write the decimal 0.75 as a fraction?,Thinks a decimal can be written as a fraction by just writing it under a numerator of 1
